"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"984","BRD-K55851396","54654475","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.422858174945801,62,26,NA,0
"985","oligomycin-a","6364620","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.394263597020118,62,26,"ATP5A1",0
"986","BRD-K52163391","17757095","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"987","prostratin","454217","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.589391470188488,62,26,"PRKCA; PRKCB; PRKCE; PRKCG; PRKCH",0
"988","CGK-733","6605258","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"ATM; ATR",0
"989","tozasertib","5494449","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"ABL1; ABL2; AURKA; AURKAIP1; AURKB; AURKC; BCR; BMP2K; CDKL2; DDR1; DDR2; EPHA2; EPHB6; FLT3; INCENP; JAK2; LCK; LIMK1; MAP3K19; MAP4K1; MAP4K5; MYLK2; MYLK3; NTRK1; NTRK2; NTRK3; NUAK1; PLK4; RET; RIPK1; ROS1; SLK; SRPK1; TAOK2; TAOK3; TEK; TNK1; TPX2; YES1",0
"990","rottlerin","5281847","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"KCNH2; TGM2",0
"991","BRD-K67774729","54645916","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"992","ly-ester",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.623929769914767,62,26,NA,0
"993","BRD-K19876534","54646516","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.771835761958656,62,26,NA,0
"994","CD-1530","24868309","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"995","BRD-K32602441","54631468","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.357719367992261,62,26,NA,0
"996","CGS-15943","2690","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.188180786337259,62,26,"ADORA1; ADORA2A; ADORA2B; ADORA3",0
"997","alisertib","24771867","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"AURKA",0
"998","K-788-2192",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"999","A-23187","40486","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.560010319535245,62,26,NA,0
"1000","BRD-K50817946",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-1.04478629529414,62,26,NA,0
"1001","I-BET-762",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1002","silychristin",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1003","BRD-K69179556",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1004","HMN-214","9888590","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"PLK1",0
"1005","BRD-A11731846","16745401","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.366066786955252,62,26,NA,0
"1006","LY-2183240","11507802","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.895805431884378,62,26,"FAAH",0
"1007","OTX-015",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.258947964696907,62,26,NA,0
"1008","GSK-461364","15983966","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"PLK1",0
"1009","acadesine","266934","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.899854757782566,62,26,"ADSL; PRKAA2; SLC2A4",0
"1010","phenazone","2206","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.748756477020542,62,26,NA,0
"1011","BRD-A76641868","663281","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-1.04173640263835,62,26,NA,0
"1012","resveratrol","445154","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"AHR; AKT1; ALOX15; ALOX5; APOA1; APP; ATP5A1; ATP5B; ATP5C1; BACE1; CBR1; CLEC14A; CSNK2A1; ITGA5; ITGB3; KHSRP; MAOA; MAT2B; MTNR1A; MTNR1B; NQO2; NR1I2; NR1I3; PI4K2B; PPARA; PPARG; SCN5A; SIRT1; SIRT5; SLC2A1; SNCA; SULT1B1; TXNRD1; TXNRD2; YARS",0
"1013","BRD-K58479490","44507255","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1014","BRD-A89859721",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1015","BRD-K75418563","54618673","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-1.01568288303093,62,26,NA,0
"1016","syringic-acid","10742","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1017","isosilychristin",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.626751574249508,62,26,NA,0
"1018","BRD-K02269790","4671491","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.86523976151848,62,26,NA,0
"1019","BRD-K74228917","1635461","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"1020","vismodegib",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"SHH; SMO",0
"1021","taxifolin","439533","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.0248125202050933,62,26,"APOB; APP; HMGCR",0
"1022","ibrutinib","16126651","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"BLK; BMX; BTK",0
"1023","spiramide","68186","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.701978522475386,62,26,"HTR2B",0
